Formato,Nome Formato,Programas que usam formato,Autor
vbp,Visual Basic Project File,Microsoft Visual Studio (Windows),Microsoft
vbproj,Visual Studio Visual Basic Project,Microsoft Visual Studio (Windows),Microsoft
vbx,Visual Basic Custom Control,Microsoft CodeView (Windows) Microsoft Windbg (Windows),Microsoft
vc,Verge Source Code File,Verge (Windows),Verge
vcxproj,Visual C++ Project,Microsoft Visual Studio (Windows),Microsoft
wwp,WebPlus Project File,Serif WebPlus (Windows),Serif
xap,XACT Project File,Microsoft XACT (Windows),Microsoft
xcodeproj,Xcode Project,Apple Xcode (Mac),Apple
xib,Interface Builder File,Apple Interface Builder (Mac),Apple
xq,XQuery File,Altova XMLSpy (Windows) Liquid Technologies Liquid XML Studio (Windows) MacroMates TextMate (Mac) Progress Stylus Studio (Windows) SyncRO Soft oXygen XML Editor (Windows) Any Text Editor,The W3C XML Query Working Group
xt,Xdebug Trace File,Xdebug Debug client (Windows & Linux),
yml,YAML Document,Alexander Blach Textastic Code Editor (iOS) Apple TextEdit (Mac) MacroMates TextMate (Mac) Microsoft Notepad (Windows) Vim (Linux) Other Text Editors,
adoc,AsciiDoc File,"Any Text Editor (Windows, Mac & Linux)",Stuart Rackham
chm,Compiled HTML Help File,Beyond CHM Microsoft Internet Explorer Microsoft Reader Mozilla Firefox xCHM,Microsoft
csk,Claris Works File,ClarisWorks,Apple
doc,Microsoft Word Binary File Format,Microsoft Word (97-2010) WordPerfect AbiWord Apple Pages AppleWorks KWord Microsoft Word StarOffice IBM Lotus Symphony,Microsoft
docm,Word Open XML Macro-Enabled Document,Microsoft Word 2007 Microsoft Word 2010 Microsoft Word 2013 OpenOffice MobiSystems OfficeSuite Pro 7,Microsoft
docx,Microsoft Word Open XML Document,Microsoft Word 2013 Corel WordPerfect X7 Apple Pages 5.2 MobiSystems OfficeSuite Pro 7 Google Drive,Microsoft
dot,Microsoft Word Document Template File,Microsoft Word 2013 Microsoft Works Apache OpenOffice Planamesa NeoOffice Microsoft Word Viewer,Microsoft
dotx,Word Open XML Document Template,Microsoft Word 2013 Apache OpenOffice LibreOffice,Microsoft
eml,E-Mail Message,"Microsoft Outlook Express, 2016 Microsoft Internet Explorer Microsoft Windows Live Mail Apple Mail Mozilla Thunderbird Mozilla SeaMonkey BitDaddys emlOpenViewFree Encryptomatic Message Viewer Lite Novell GroupWise Perion IncrediMail",Microsoft
fdxt,Final Draft Template File,Final Draft (Windows & Mac),Final Draft
hwp,Hanword Document,"Hancom Office (Microsoft, Linux) Planamesa NeoOffice (Mac) Hancom Office Viewer",Hancom
log,Log File,Apple console Apple Text Edit Microsoft Notepad Microsoft Word OpenOffice Writer,
m3u,Media Playlist File,Microsoft Windows Media Player VLC Media Player Apple iTunes Roxio Creator Nullsoft Winamp,Apple Inc.
msg,Outlook Mail Message,Microsoft Outlook (Windows) Encryptomatic MsgViewer Pro (Windows) BitDaddys Email Open View Pro (Windows) EZ Freeware Free Opener (Windows) Kupon.BG Klammer (Mac and iOS) 45 RPM MailRaider (Mac),Microsoft
odm,OpenDocument Master Document,OpenOffice LibreOffice,Sun Microsystems and OASIS
odt,OpenDocument Text Document,Microsoft Office 2007 Microsoft Office 2010 OpenOffice Writer,Sun Microsystems
oxps,OpenXPS File,"Microsoft XPS Viewer (Windows) Pagemark XpsViewer (Windows, Mac) Microsoft Word 2011, 2013 (Windows) NiXPS View (Windows, Mac)",Microsoft
pages,Pages Document,Pages 4.0 Pages 4.1 Pages 4.2 iWork '09 Google Docs Jumpshare,Apple Inc.
pages.zip,Pages Document,Apple Pages (Mac & iOS),Apple
pdf,Portable Document Format,Adobe Viewer Ghostscript Ghostview Xpdf gPDF Acrobat Reader,Adobe Systems
pmd,PageMaker Document,Adobe InDesign Adobe PageMaker,Adobe
pub,Microsoft Publisher Document File,Microsoft Publisher,Microsoft
rtf,Rich Text Format,AbiWord Kword Microsoft Word TextEdit WordPad,Microsoft
shs,Shell Scrap Object File,Microsoft Word Microsoft Excel,Microsoft
sxw,StarOffice Writer Document,StarOffice Writer OpenOffice Writer LibreOffice,Sun Microsystems
tex,LaTeX Source Document,"BaKoMa TeX (Windows) gVim (Windows) LaTeX Editor (Windows) LyX/Mac (Mac) MacVim (Mac) proTeXt (Windows) Skim (Mac) Texmaker (Windows, Mac & Linux) TeXnicCenter (Windows) TeXShop (Mac) TeXworks (Windows, Mac & Linux)",LaTeX3 Project
txt,Raw text file,Notepad TextEdit WordPad,Microsoft
vmg,Nokia vMessage,Nokia phones Siemens Phones Palm devices Unicode-enabled text editor Nokia PC Suite Samsung PC Studio Text Message Editor Vertu PC Suite,Nokia
vnt,Mobile Phone vNote File,Apple Text Editor BlockSoft MemoBlock Microsoft Notepad Microsoft Word Microsoft WordPad Notes for Sony Ericsson Samsung S Memo,Sony Ericsson
wp5,WordPerfect 5 Document,Corel WordPerfect (Windows),Corel
wpd,WordPerfect Document File,Corel WordPerfect OpenOffice Writer Microsoft Word,Corel
wps,Microsoft Works Word Processor Document,Microsoft Word Microsoft Works Word Processor NeoOffice OxygenOffice Works Converter,Microsoft
xml,Extensible Markup Language File,Microsoft Visual Studio 2013 JAPISoft EditiX Wattle XMLwriter MacroMates TextMate,World Wide Web Consortium
xps,Microsoft XML Paper Specification File,XPSView Evince XPS Viewer MuPDF Harlequin RIP Okular STDU Viewer Xara DEsigner Pro XPS Annotator,"Microsoft, Ecma International"
acsm,Adobe Content Server Message File,Adobe Digital Editions,Adobe
apnx,Amazon Page Number Index File,Amazon Kindle for PC or Mac,Amazon
azw,Amazon Kindle ebook file,Amazon Kindle Reader Kindle for iOS Kindle for Android,Amazon
azw3,Amazon KF8 eBook File,Amazon Kindle for PC Amazon kindle for MAC,Amazon
cbr,ComicBook RAR Archive,CDisplay ComicFlow Perfect Viewer,
cbt,Comic Book TAR File,CDisplayEx (Windows) Smith Micro StuffIt Deluxe (Windows & Mac),
cbz,Comic Book Zip Archive,"Calibre (Windows, Mac, Linux) Comical (Windows, Mac) Comic Book Reader (Windows) GonVisor (Windows) Icecream Ebook Reader (Windows) kaycha Komik Reader (Android) MComix (Windows, Linux) Smith Micro StuffIt Deluxe 16 (Mac) Xylasoft Comic Seer (Windows, Linux)",
epub,Electronic Publication,Mobipocket Reader Desktop Adobe Digital Editions Sony Reader Apple iBooks Google Books,International Digital Publishing Forum (IDPF)
fb2,FictionBook 2.0 File,Apple iBooks Calibre Cool Viewer FBReader,Fiction Book
ibooks,Multi-Touch iBook File,Apple Books (Windows & Mac) Apple iBooks Author (Mac),Apple
kfx,Amazon KF10 eBook File,"Amazon Kindle (Windows, Mac, Android & iOS) Calibre (Windows, Mac & Linux)",Amazon
lit,Microsoft eBook File,Microsoft Reader,Microsoft
lrf,Sony Portable Reader File,Sony Reader,Sony
mbp,Mobipocket Notes File,Mobipocket Reader Desktop MBP reader,Mobipocket
mobi,Mobipocket,Amazon Kindle Apple iBooks Mobipocket Reader Desktop,Amazon
opf,Open Packaging Format File,"Adobe Digital Editions (Windows & MAC) Adobe InDesign CC (Windows & MAC) Calibre (Windows, MAC & Linux) KDE Okular (Windows, MAC & Linux) Geometer Plus FBReader (Windows, MAC & Linux)",IDPF
prc,Mobipocket eBook File,Mobipocket Reader Desktop Amazon Kindle Apple iBooks,Mobipocket
tcr,Psion Series 3 eBook File,"Calibre (Windows, Mac 6 Linux)",Psion Teklogix
vbk,VitalSource eBook,"VitalSource Bookshelf (Windows, Mac, iOS, Android)",Vital Source Technologies
air,Adobe AIR Installation Package,"Adobe Air (Windows, Mac & Linux) Adobe Flash (Windows & Mac)",Adobe Systems
app,Mac OS X Application,Apple OS X,Apple
bat,DOS Batch File,Parallels Desktop (Mac) Microsoft Windows (Windows) Microsoft Windows Command Prompts (Windows) Any Text Editor,Microsoft
cgi,Common Gateway Interface Script,"Bare Bones BBEdit (Mac) gVim (Windows) MacroMates TextMate (Mac) Microsoft Notepad (Windows) Richardson EditRocket (Windows, Linux & Mac) Other Text Editors",
cmd,Windows Command File,Microsoft Notepad (Windows) Microsoft Windows (Windows) Microsoft WordPad (Windows) Notepad++ (Windows) Parallels Desktop for Mac (Mac) Other Text Editors,Microsoft
com,DOS Command File,Microsoft Windows (Windows) Parallels Desktop (Mac),Microsoft
ds,DAZ Studio 1/2 Script,DAZ 3D DAZ Studio (Windows & Mac),DAZ Productions
exe,Windows Executable File,DOS OS/2 Windows,DOS
gadget,Windows Gadget,Microsoft Windows (Windows),Microsoft
ipa,iOS Application,Apple iTunes,Apple
pif,Program Information File,Microsoft Windows,
scr,Script File,Autodesk AutoCAD 2016 Common text editors and the respective program that created the file.,
vb,Visual Basic Project Item File,"Adobe Dreamweaver (Windows & Mac) Microsoft Visual Studio (Windows) Microsoft WScript (Windows) Any text editor (Windows, Mac & Linux)",Microsoft
wsf,Windows Script File,Microsoft CScript Microsoft Visual Studio Microsoft WScript Any text editor,Microsoft
8bi,Photoshop Plug-in,Adobe Photoshop (Windows & Mac) Adobe Photoshop Elements (Windows & Mac) Corel PaintShop Pro (Windows),
approj,ActivePresenter Project File,ActivePresenter (Windows),"Atomi Systems, Inc."
bak,"Firefox Bookmarks Backup, Backup File",Depends upon the program being backed up.,
bbl,BibTeX Generated Bibliography File,"Bib2x (Windows) BibDesk (Mac) MiKTeX (Windows) proTeXt (Windows) TeX Live (Linux) TeXworks (Windows, Mac & Linux)",Oren Patashnik
bfc,Windows Briefcase File,Microsoft Windows Briefcase Windows Explorer,
bib,BibTeX Bibliography Database,"Bib2x (Windows & Linux) BibDesk (Mac) JabRef (Windows, Mac & Linux) MacroMates TextMate (Mac) MiKTeX (Windows) Pybliographer (Linux) RefTeX (Linux) TeXnicCenter (Windows) TeXworks (Windows & Mac)",
bibtex,BibTeX Bibliography Database File,"Bib2x (Windows & Linux) BibDesk (Mac) JabRef (Windows, Mac & Linux) MacroMates TextMate (Mac) MiKTeX (Windows) Pybliographer (Linux) RefTeX (Linux) TeXnicCenter (Windows)",
cff,Citation File Format,,Github
cmf,Cal3D Binary Mesh File,Cal3D (Linux) Cal3d2ogre (Windows) Cal3dViewer (Windows) Short Fuze Limited Moviestorm (Windows & Mac),Cal3D
crdownload,Chrome Partially Downloaded File,Google Chrome,Google
cue,Cue Sheet File,Alcohol 120% Burn CDRWIN Corel WinDVD 11 EZB Systems UltraISO Foobar2000 Lightning UK! ImgBurn Nero 2015 NTI Dragon Burn 4 Roxio Creator NXT Pro 3 Roxio Toast 14 SQIANG Easy Cue Editor Smart Projects IsoBuster VideoLAN VLC media player Any text editor,Golden Hawk Technology
dao,Disk at Once CD/DVD Image,Iopshop Duplicator (Windows) Smart Projects IsoBuster (Windows) EZB Systems UltraISO (Windows),
dbx,Outlook Express E-mail Folder,Microsoft Outlook Express Microsoft Windows Mail Microsoft Windows Live Mail Remo Recover Outlook Express OE-Mail Recovery DBXtract Stellar DBX to PST Converter,Microsoft
dem,Video Game Demo File,Epic Game Unreal Tournament (Windows & Mac) id Software Hexen 2 (Windows) id Software Quake (Windows & Mac) Valve Counter-Strike (Windows & Mac) VirtualDub (Windows),Valve
dic,Dictionary File,"ACD Systems Canvas (Windows) Apache OpenOffice (Windows, Mac & Linux) IBM Lotus Notes (Windows) JGsoft EditPad Pro (Windows) Kingsoft Writer (Windows) LibreOffice (Windows, Mac & Linux) Microsoft Windows (Windows) Microsoft Word (Windows & Mac)",
dmg,Mac OS X Disk Image,Power Archiver 7-zip Iso Bit Zipper,Apple INC.
enc,Encoded File,original program that encoded the file (Windows & Mac),
enl,EndNote Library File,Thomas Reuters EndNote (Windows & Mac),Thomas Reuters
ens,EndNote Style File,Thomas Reuters EndNote (Windows & Mac),Thomas Reuters
enw,EndNote Import File,Thomas Reuters EndNote (Windows & Mac),Thomas Reuters
epc,Game Data File,BBC Doctor Who: The Adventure Games (Windows & Mac),BBC
flt,Adobe Audition Filter,Adobe Audition (Windows),Adobe Systems
fnt,Windows Font File,"FontForge (windows, Mac & Linux) Microsoft Windows (Windows) VSoft FontEdit (Windows)",
fon,Generic Font File,Microsoft Windows Font Viewer (Windows),
gam,Saved Game File,Various Video Games,
gho,Norton Ghost Backup File,Symantec Ghost Solution Suite (Windows),Symantec
gpx,GPS Exchange File,"Apple Xcode (Mac) Fugawi Global Navigator (Windows) Garmin MapSource (Windows) Google Earth (Windows & Mac) GottenGeography (Linux) GPS Utility (Windows) GPSRouteX (Mac) GPX Viewer (Linux) JOSM (Linux) Merkaartor (Windows, Mac & Linux) Microsoft Streets & Tips (Windows) Safe Software FME Desktop (Windows) TatukGIS Viewer (Windows) TopoGrafix EasyGPS (Windows)",
grp,StarCraft Graphics Group File,Blizzard StarCraft,Blizzard
hex,Hexadecimal Source File,Cygnus Hex Editor (Windows) Heaventools FlexHex (Windows) Hex Workshop Hex Editor (Windows) HHD Hex Editor (Windows),
hqx,BinHex 4.0 Encoded File,Apple Archive Utility Corel WinZip 18.5 ESTsoft ALZip Incredible Bee Archiver Smith Micro StuffIt Deluxe,Yves Lempereur
ics,iCalendar File,Microsoft Outlook 2013 Mozilla Sunbird Microsoft Works,Internet Engineering Task Force Calendaring and Scheduling Working Group
idx,Movie Subtitle File,"CyberLink PowerDVD 15 (Windows) DVDSubEdit (Windows) J2 Interactive MX Player (Android) MPlayer (Mac) SMPlayer (Linnux) URUWorks Subtitle Workshop (Windows) VideoLAN VLC media player (Windows, Mac & Linux)",
img,Disk Image File,Apple Disk Utility Roxio Toast 12 SlySoft CloneCD,Apple
iso,Disc Image File,"7-Zip (Windows) Alcohol 120% (Windows) Apple Disk Utility (Mac) Brasero (Linux) Canonical Furius ISO Mount (Linux) Corel WinZip (Windows) dd (Linux) DT Soft DAEMON Tools (Windows) ISO Master (Windows & Linux) K3b (Linux) LSoft Technologies Active@ ISO Burner (Windows) MagicISO MagicDist (Windows) NeoSmart Technologies EasyBCD (Windows) Nero (Windows) Parallels Desktop (Mac) PowerIso (Windows) RARLAB RAR (Android) Roxio Creator NXT Pro (Windows) Roxio Toast (Mac) SlySoft Virtual CloneDrive (Windows) VideoLAN VLC media player (Windows, Mac & Linux) VMware Fusion (Mac) WinRAR (Windows)",
jad,Java Application Descriptor File,LogoManager MobiMB Mobile Media Browser (Windows) JADMaker (Windows),Oracle
kml,Keyhole Markup Language File,"Blender (Windows, Mac & Linux) Blue Marble Geographics Global Mapper (Windows) ESRI ArcGIS for Desktop (Windows) Google Earth (Windows, Mac & Linux) Google Maps (Web) Merkaartor (Windows, Mac & Linux) Keyhole PRO (Windows & Mac)",
kmz,Keyhole Markup Language (Zipped),Google Earth Google Maps Trimble SketchUp Global Mapper ESRI ArcGIS for Desktop,"Keyhole, Inc., Google"
map,Quake Engine Map File,Valve Hammer Editor (Windows) Torque Constructor (Windows) id Software GtkRadiant (Windows) QuArK (Windows) MAP3BSPC (Windows) Q3Map2 (Windows) Microsoft Notepad (Windows) Other Text Editors,id Software
marc,Machine Readable Cataloging File,MARC 21 UNIMARC,Henriette Avram
mdf,Media Disc Image File,Alcohol 120% CyberLink PowerDVD 15 DT Soft DAEMON Tools H+H Software Virtual CD MagicISO PowerISO Smart Projects IsoBuster WinMount International WinMount,Alcohol Software
mim,Multi-Purpose Internet Mail Message File,Apple Mail (Mac) Corel WinZip (Windows) KMail (Linux) Microsoft Outlook (Windows & Mac) Microsoft Outlook Express (Windows) Mozilla Thunderbird (Windows & Mac) Smith Micro StuffIt Deluxe (Windows & Mac),Internet Engineering Task Force
mime,Multi-Purpose Internet Mail Extension,Apple Mail (Mac) Corel WinZip (Windows) Kmail (Linux) Microsoft Outlook (Windows) Microsoft Outlook Express (Windows & Mac) Mozilla Thunderbird (Windows & Mac) Smith Micro Stuffit (Windows & Mac),The Internet Engineering Task Force
mrc,Machine Readable Cataloging File,MARC 21 UNIMARC,Henriette Avram
msi,Windows Installer Package,7-Zip Microsoft Windows Installer,Microsoft
mtb,MINITAB Exec File,Minitab (Windows),Minitab
nes,Nintendo (NES) ROM File,"FCEUX (Windows, Mac & Linux) iNES (Windows) Jnes (Windows) MESS (Windows, Mac & Linux) Nesoid (Android) NesterJ (Windows) Nestopia (Windows, Mac & Linux) VirualNES (Windows)",
ori,Original File,Program that created the file (Windows & Mac),
otf,OpenType Font,"AMP Font Viewer (Windows) Apple Font Book (MAC) FontForge (Windows, MAC & Linux) Microsoft Windows Font Viewer (Windows)",Adobe & Microsoft
part,Partially Downloaded File,DrSiriUs eMule Plus FlashGet Free Download Manager JDownloader Headlight Go!Zilla Mozilla Firefox Skype,
pes,Brother Embroidery Format,Designer's Gallery Studio Plus Embroidermodder BALARAD Embird Studio Buzz Tools S & S Computing SewWhat!,
plugin,Mac OS X Plug-in,Apple QuickTime Player (Mac) Apple Safari (Mac) Mozilla Firefox (Mac),
ps,Adobe PostScript File,"ACD Systems ACDSee (Windows) ACD Systems Canvas (Windows) Adobe Acrobat (Windows & Mac) Adobe Illustrator (Windows & Mac) Adobe Photoshop (Windows & Mac) Adobe Photoshop Elements (Windows & Mac) Evince (Linux) GPL Ghostscript (Windows) GSView (Windows & Linux) Inkscape (Windows, Mac & Linux)",Adobe Systems
qxp,QuarkXPress Project File,Adobe InDesign (Windows & Mac) QuarkXPress (Windows & Mac),Quark Software
rem,BlackBerry Encrypted Data File,Research In Motion BlackBerry Desktop Manager,Research In Motion
ris,Research Information Systems Citation File,"BibDesk (Mac) Thomas Reuters EndNote (Windows & Mac) Wandora (Windows, Mac & Linux)",Research Information Systems
rom,N64 Game ROM File,1964 (Windows) Daedalus (Windows) Mupen64Plus (Windows & Mac) Nemu64 (Windows) Project64 (Windows) sixtyforce (Mac) SupraHLE (Windows) UltraHLE (Windows) UltraHLE 2064 (Windows),
sav,Saved Game,Original program,
t65,PageMaker Template File,Adobe PageMaker (Windows & Mac) Adobe InDesign (Windows & Mac),Adobe Systems
tec,TECkit Compiled Mapping File,pyTecKit TECkit,SIL International
tmp,Temporary File,Apple Safari Microsoft Word 2013 Microsoft Internet Explorer Mozilla Firefox,
toast,Toast Disc Image,Roxio Popcorn (Mac) Roxio Toast (Mac),Roxio
torrent,BitTorrent File,BitTorrent uTorrent Vuze BitComet FlashGet Shareaza Headlight GetRight BitLord Ares Deluge Opera,"BitTorrent, Inc."
ttf,TrueType Font,"CorelDRAW Graphics Suite X7 (Windows) Fontforge (Windows, Mac, Linux) Microsoft Windows Font Viewer (Windows) Apple Font Book (Mac)",Apple
url,Internet shortcut file,Apple Safari Google Chrome Microsoft Internet Explorer Microsoft Word Mozilla Firefox Notepad Opera,
uue,Uuencoded File,Apple Archive Utility (Mac) Corel WinZip (Windows) Smith Micro StuffIt (Windows & Mac) uudecode (Linux) uuencode (Linux),
vcd,Virtual CD,H+H Software Virtual CD (Windows) MPlayer (Mac) Roxio Creator NXT (Windows) Roxio Popcorn (Mac) Roxio Toast (Mac) WinMount International WinMount (Windows),H+H
xll,Excel Add-In File,Microsoft Excel (Windows & Mac),Microsoft
caj,Chinese Academic Journal File,"CNKI CAJViewer (Windows, Mac, Web & Android) CNKI CAJViewer HD 1 (iOS)",China National Knowledge Infrastructure
dtp,Publish-iT Document,Poster Software Publish-iT (Windows),Poster
eddx,Edraw XML File,"EdrawSoft Edraw Max (Windows, Mac & Linux) EdrawSoft Network Diagram Maker (Windows & Mac)",EdrawSoft
indd,Adobe InDesign Document,Adobe InCopy (Windows & Mac) Adobe InDesign (Windows & Mac) Stellar Phoenix InDesign Repair (Mac) QuarkXPress with ID2Q XTension (Windows & Mac),Adobe Systems
lbl,Now Contact Label Template,Now Contact (Windows & Mac),Now Software
mdi,Microsoft Document Imaging File,"Microsoft Office XP, 2003, 2007 (Windows) Bugysoft MDI2PDF Converter (Windows)",Microsoft
p65,PageMaker 6.5 Document,Adobe InDesign (Windows & Mac),Adobe Systems
qxd,QuarkXPress Document,Adobe InDesign (Windows & Mac) QuarkXPress (Windows & Mac),Quark Software
rels,Open Office XML Relationships File,Microsoft Excel (Windows & Mac) Microsoft PowerPoint (Windows & Mac) Microsoft Word (Windows & Mac),Microsoft
flipchart,ActivInspire Flipchart File,"Promethean ActivInspire (Windows, Mac & Linux)",Promethean
key,Keynote Presentation,File Viewer Lite (Windows) Apple Keynote 6.2 (Mac) Apple Keynote (iOS),Apple
key.zip,Keynote Presentation,Apple iWork (Mac & iOS) Apple Keynote (Mac & iOS) Apple Preview (Mac),Apple
odp,OpenDocument Presentation File,Corel WordPerfect OpenOffice Impress KOffice Lotus Symphony StarOffice NeoOffice,"Sun Microsystems, Oasis"
pps,PowerPoint Slide Show,Apple Keynote Microsoft PowerPoint Microsoft PowerPoint Viewer OpenOffice,Microsoft
ppsx,PowerPoint Open XML Slide Show,Apple Keynote Microsoft PowerPoint OpenOffice,Microsoft
ppt,Microsoft PowerPoint Presentation File,Apple Keynote LibreOffice Microsoft PowerPoint OpenOffice,Microsoft
pptm,PowerPoint Open XML Macro-Enabled Presentation,Microsoft PowerPoint 2013 Corel Presentations X7,Microsoft
pptx,Microsoft PowerPoint 2007 XML Presentation,Apple Keynote Microsoft PowerPoint OpenOffice,Microsoft
art,AOL Compressed Image File,ACD Systems ACDSee 18 AOL,AOL
arw,Sony Digital Camera Alpha Raw Image Format,ARW Viewer Adobe Suite Microsoft Windows Live Photo Gallery Microsoft Windows Photos,Sony
avif,AV1 Image File Format,Microsoft Paint Paint.net VLC Windows File Explorer some web browsers,The Alliance for Open Media (AOMedia)
bmp,Microsoft Windows bitmap,Adobe Photoshop MS Paint Microsoft Photo Editor Paintbrush,Microsoft
cr2,Canon Digital Camera Raw Image File,Adobe Photoshop Adobe Photoshop Lightroom Paint Shop Pro Picasa digiKam,Canon Inc.
crw,Canon Digital Camera Raw Image Format,Adobe Photoshop Aperture AZImage ExifTool Adobe Lightroom Picasa dcraw jrawio libraw RawTherapee BreezeBrowser,"Canon, CIFF forum"
dcm,Digital Imaging and Communications in Medicine Image File,Adobe Photoshop CC ACD Systems Canvas 15 DicomWorks ezDICOM MRIcro IrfanView OsiriX Imaging Software MeVisLab MRIcro ImageMagick GIMP,NEMA
dds,Microsoft DirectDraw Surface,Adobe Photoshop with NVIDIA DDS plugin Gimp with DDS plugin Microsoft DirectX Texture Editor NVIDIA Texture Tools Windows Texture Viewer,Microsoft
djvu,DjVu image files,DjVuLibre DjView MacDjView Desktop Viewer WinDjView LizardTech Browser Plug In,AT&T Labs
dng,Digital Negative Image File,ACD Systems Canvas ACD Systems ACDSee Adobe Photoshop Adobe Photoshop Elements Adobe Photoshop Lightroom Apple Aperture Apple Preview Apple iPhoto CyberLink PhotoDirector File Viewer Lite Google Picasa MacPhun ColorStrokes Microsoft Windows Photos Serif PhotoPlus,ADOBE
exr,OpenEXR Image,"Adobe After Effects (plugin needed, Windows & Mac) Adobe Photoshop (plugin needed, Windows & Mac) Adobe SpeedGrade (Windows & Mac) MacPhun ColorStrokes (Mac) Serif PhotoPlus (Windows)",Industrial Light & Magic
flif,Free Lossless Image Format File,"ImageMagick (Windows, Mac & Linux) XnView (Windows)",
fpx,FlashPix Bitmap Image File,Kodak Picture Easy Software CoralDRAW Graphics Suite X7 Coral PaintShop Pro X6 Microsoft PhotoDraw,Kodak
gif,CompuServe Graphics Interchange Format,Adobe Photoshop Microsoft Windows Photo Gallery Viewer Apple Preview Corel Paint Shop Pro,CompuServe
hdr,High Dynamic Range Image File,ACD Systems ACDSee (Windows) ACD Systems Canvas (Windows) Adobe Photoshop (Windows & Mac) File Viewer (Android) HDRSoft Photomatix (Windows & Mac) Lemkesoft GraphicConverter (Mac),HDRsoft
heic,High Efficiency Image Format,"Apple iOS (iOS) Apple Photos (Mac) Dropbox (Windows, Mac, Linux, iOS, Android)",Moving Pictures Experts Group
ico,Microsoft icon file,Adobe Photoshop Microsoft Paint Windows Picture and Fax Viewer,Microsoft
ithmb,iPod and iPhone Photo Thumbnails File,DigiDNA iMazing Tansee iPod Transfer Photo Tansee iPhone Transfer Photo CompuClever Ultra File Opener Mac OS X LogoMac DigiDNA iMazing Echo One File Juicer Keith's iPod Photo Reader,Apple Inc.
jp2,JPEG 2000 Core Image File,ACD Systems Canvas 15 Adobe Photoshop CC CorelDRAW Graphics Suite X7 ACD Systems ACDSee 17 Corel PaintShop Pro X6 Adobe Photoshop Elements 12 Apple Safari Apple Preview Lemkesoft Graphic Converter,Joint Photographic Experts Group
jpeg,Joint Photographic Experts Group JFIF format,Adobe Photoshop Corel Paint Shop Pro Apple Preview Microsoft Windows Photo Gallery Viewer,The JPEG Committee
jpg,Joint Photographic Experts Group JFIF format,Adobe Photoshop Adobe Suite Apple Preview Corel Paint Shop Pro Microsoft Office Microsoft Windows Photo Gallery Viewer Most web browsers,Joint Photographic Experts Group
jxr,JPEG XR Image,"Adobe Photoshop with plugin (Windows) Axel Rietschin FastPictureViewer (Windows) IrfanView (Windows) Microsoft Windows Photo Viewer (Windows) XnView MP (Windows, Mac & Linux)",Microsoft
kdc,Kodak Photo-Enhancer File,ACD Systems ACDSee 18 ACD Systems Canvas 15 Adobe Photoshop CC 2015 Adobe Photoshop Elements 13 Adobe Photoshop Lightroom CC 2015 Corel PaintShop Pro X8 fCoder Group Image Converter Plus Google Picasa Kodak Picture Transfer Microsoft Windows Photos NCH Pixillion,Kodak
mac,MacPaint Image,Apple MacPaint (Mac) Apple QuickTime Player (Mac) CorelDRAW Graphics Suite (Windows) Corel PaintShop Pro (Windows) Corel Presentations (Windows) Lemkesoft GraphicConverter (Mac),Apple
nef,Nikon Digital Camera Raw Image File,Adobe Photoshop Adobe Photoshop Lightroom digiKam Paint Shop Pro Picasa,Nikon Inc.
nrw,Nikon Digital SLR Camera Raw Image File,Adobe Photoshop Elements 13 Adobe Photoshop CC 2015 Nikon ViewNX Nikon Capture NX Corel PaintShop Pro X8 Google Picasa Microsoft Windows Photo Gallery MacPhun ColorStrokes,Nikon Corporation
orf,Olympus Digital Camera Raw Image File,Olympus Master Adobe Photoshop CC Corel PaintShop Pro X6 ACD Systems Canvas 15 Google Picasa,Olympus
pcd,Photo CD,ACD Systems Canvas 15 Corel PaintShop Pro X6 Apache OpenOffice Corel WordPerfect Office X7 ACD Systems ACDSee 17,Kodak
pct,Apple Macintosh QuickDraw Image,ACD Systems ACDSee 17 Adobe After Effects CC 2015 Adobe Fireworks CC Adobe Illustrator CC Adobe Photoshop CC Adobe Photoshop Elements 12 CorelDRAW Graphics Suite X7 Corel PaintShop Pro X8 XnViewMP,Apple
pcx,ZSoft Paintbrush Bitmap Image File,Adobe Photoshop CC Core PaintShop Pro X6 Corel Presentations X7 Microsoft Windows Picture and Fax Viewer,ZSoft
pef,Pentax Electronic File,ACD System ACDSee 18 ACD Systems Canvas 15 Adobe Photoshop CC Adobe Photoshop Elements 13 Corel PaintShop Pro X6 File Viewer for Android Google Picasa MacPhun ColorStrokes MAGIX Xara Photo & Graphic Designer 9 Pentax Photo Browser or Photo Laboratory UFRaw,Pentax
pgm,Portable Gray Map Image,ACD Systems ACDSee 18 ACD System Canvas 15 Adobe Photoshop with plug-in Corel PaintShop Pro X8 GIMP Inkscape Netpbm,Jef Poskanzer
pict,Apple Macintosh QuickDraw/picture file,ACD Systems Canvas 15 ACD Systems ACDSee 17 Adobe Photoshop CC Adobe Photoshop Elements 12 Adobe Fireworks CCExternal Link Adobe After Effects CC CocoModX CorelDRAW Graphics Suite X7 Corel PaintShop Pro X7 Lemkesoft GraphicConverter Planamesa NeoOffice,Apple
pictclipping,Picture Clipping File,ACDSee Photo Manager (Windows) Apple Finder (Mac) GraphicConverter (Mac) IrfanView (Windows) Lemkesoft GraphicConverter (Mac),Apple
plist,,Apple Property List Editor Fat Cat PlistEdit Pro Icon Night Productions Pref Setter,Apple
